,rank,reg,alpha,MAP
24,50,0.01,5.0,0.0522029970977
25,50,0.1,5.0,0.0520791612707
26,50,1,5.0,0.0508720323106
16,50,0.1,1.0,0.0467631594034
22,30,0.1,5.0,0.0466176193151
21,30,0.01,5.0,0.046446035234
7,50,0.1,0.5,0.0451078466396
15,50,0.01,1.0,0.0449608297565
23,30,1,5.0,0.0446421143986
13,30,0.1,1.0,0.0424825225793
6,50,0.01,0.5,0.0414043584471
12,30,0.01,1.0,0.041287547836
4,30,0.1,0.5,0.0411779002575
17,50,1,1.0,0.0395917850619
3,30,0.01,0.5,0.0388129976957
14,30,1,1.0,0.0346342014887
19,10,0.1,5.0,0.0344560324803
18,10,0.01,5.0,0.0343397015572
10,10,0.1,1.0,0.033971914422
9,10,0.01,1.0,0.0330426854663
1,10,0.1,0.5,0.0329543464627
0,10,0.01,0.5,0.032573052939
20,10,1,5.0,0.0324786177626
8,50,1,0.5,0.025573214038
11,10,1,1.0,0.0245335689208
5,30,1,0.5,0.0228320540605
2,10,1,0.5,0.0189008819598
